floor_rate,floor_agg,coupled_t_rate,coupled_t_agg
0.007636,6.471044,0.020784,17.613288
0.020216,17.132072,0.005932,5.027040
0.017306,14.665821,0.048562,41.153745
0.020482,17.357109,0.056785,48.122672
0.052808,44.752595,0.025771,21.839633
0.042375,35.910672,0.050470,42.770510
0.018536,15.708069,0.039165,33.190746
0.029775,25.233261,0.018718,15.862802
0.029465,24.970576,0.016479,13.965098
0.056352,47.755363,0.024623,20.866780
0.018227,15.446744,0.018244,15.460966
0.042400,35.931886,0.015578,13.201608
0.042411,35.940929,0.025769,21.838190
0.006333,5.366493,0.026556,22.505036
0.050295,42.622781,0.023364,19.800213
0.014527,12.311344,0.059552,50.467634
0.013372,11.332382,0.019348,19.386315
0.032470,27.517093,0.044950,38.093394
0.018794,15.927380,0.002749,2.754341
0.016471,13.958180,-0.017320,-17.354441
0.022521,19.085766,-0.003192,-2.704953
0.028312,23.993464,0.016776,14.216763
0.026820,22.728482,0.020150,17.075796
0.033716,28.572856,0.054191,54.299097
0.061712,52.298200,0.024243,20.544752
0.058203,49.324063,0.014932,12.654439
0.020753,17.587337,0.022521,19.085779
0.017216,14.589900,0.019729,16.719097
0.035933,30.451747,0.033800,28.643667
0.022293,18.892272,0.063336,63.462137
0.006658,5.642322,0.022985,19.478956
0.019125,16.207148,0.041432,35.112035
0.034573,29.299029,0.091599,77.625454
0.046979,39.812832,0.043008,43.094084
0.024570,20.821497,0.043341,36.729362
0.029156,24.707953,0.011063,9.375360
0.034306,29.072927,0.015949,13.516040
0.054139,45.880435,0.058082,49.221546
0.012509,10.600529,0.029895,25.334493
0.023657,20.047805,0.028287,23.971924
0.024125,20.444682,0.004466,3.784570
0.009743,8.257102,0.045852,38.857228
0.028824,24.427039,0.008878,7.523972
0.034321,29.085221,0.034251,29.025965
0.015146,12.835122,0.020300,17.203600
0.001621,1.373449,0.006216,5.267352
0.018414,15.604926,0.021708,18.396629
0.023339,19.778387,-0.008881,-8.898845
0.035388,29.989915,0.024386,24.435119
0.053225,45.105562,0.018798,15.930131
0.048712,41.280806,0.026377,22.353536
0.011198,9.490178,0.031591,26.771584
0.015256,12.929140,0.039489,33.465013
0.007167,6.074064,0.021667,18.361800
0.019590,16.601420,0.046111,39.077249
0.044588,37.785975,0.062926,53.327039
0.003119,2.643476,0.015550,15.580874
0.014448,12.243626,0.007452,6.315174
0.011748,9.956068,0.026737,22.658661
0.046439,39.354432,0.008395,7.114183
0.039646,33.597944,0.064474,54.638435
0.051684,43.799368,0.014164,12.003141
0.011295,9.571909,0.011230,9.516931
0.005150,4.364239,0.060771,51.500390
0.029209,24.753190,0.038677,32.777083
0.030450,25.804557,0.018651,15.806045
0.040123,34.002501,0.059321,50.272077
0.028953,24.536416,0.025135,21.300670
0.012325,10.444484,0.026348,22.328439
0.025424,21.545433,0.039513,33.485425
0.013627,11.548388,0.005043,4.273326
0.021252,18.009954,0.038131,32.314330
0.059595,50.503742,0.054188,45.921789
0.008167,6.920875,0.048634,41.215043
0.028347,24.022378,0.062595,53.046388
0.029371,24.890367,0.030243,25.629374
0.029863,25.307060,0.028219,23.913841
0.014262,12.086314,0.016182,13.713890
0.012007,10.175538,-0.007515,-7.529725
0.013018,11.032123,0.010755,9.114194
0.042669,36.159547,0.044494,37.706418
0.056331,47.737912,0.023946,20.293051
0.009502,8.052330,0.025848,21.905298
0.011643,9.867215,0.027121,22.983950
0.018933,16.044457,0.004930,4.178012
0.033538,28.421717,0.009134,9.152341
0.043657,36.996875,0.006338,5.370909
0.012857,10.895718,0.019455,16.486969
0.038754,32.842384,0.026779,22.693871
0.008236,6.979491,0.031682,26.848843
0.012026,10.191761,0.018216,18.252818
0.004325,3.665498,0.058208,49.328721
0.035214,29.842076,0.006699,5.676788
0.024777,20.997403,0.017821,15.102774
0.027815,23.571894,0.030508,25.854407
0.053690,45.499695,0.047708,40.430284
0.016495,13.978414,-0.000134,-0.113729
0.010641,9.018058,0.006206,5.259184
0.067090,56.855368,0.040321,40.401334
0.008196,6.945731,0.017906,15.174878
0.047818,40.523465,0.030623,25.951816
0.033138,28.082488,0.058006,49.157359
0.029456,24.962137,0.067984,57.613016
0.018706,15.852239,0.018103,15.341222
0.052754,44.706083,0.002143,1.816402
0.021391,18.127557,0.024652,20.890996
0.007386,6.259501,0.019229,16.296013
0.034506,29.242566,0.016556,14.030717
0.009681,8.204208,0.018157,15.387065
0.023533,19.942885,0.057188,48.464050
0.015039,12.744968,0.036691,31.093583
0.035841,30.373242,0.049451,41.907675
0.021241,18.000983,0.057969,49.126323
0.047959,40.643076,0.076515,76.667813
0.029130,24.685864,0.033657,28.522393
-0.002417,-2.048713,0.023207,19.666413
0.025298,21.438880,0.055371,46.924610
0.021534,18.248840,0.063592,53.890979
0.019295,16.351933,0.022737,22.782245
0.023209,19.668411,0.044694,37.875766
0.003433,2.909041,0.039504,33.477966
0.023577,19.980530,0.022304,18.901582
0.026840,22.745952,0.024416,20.691347
0.040432,34.264408,0.048981,41.508883
0.013516,11.453909,0.028211,23.907590
0.049903,42.290592,0.005903,5.002571
0.027798,23.557265,0.020798,17.625198
0.024461,20.729273,0.046825,39.682023
0.014609,12.380383,0.063387,53.717539
0.026602,22.544095,0.033398,28.302841
0.031121,26.373651,0.009324,7.901737
0.029815,25.266405,0.032943,33.008581
0.012140,10.287842,0.047256,40.047318
0.011837,10.031295,0.011411,9.670259
0.013556,11.488284,0.021003,17.799197
0.051943,44.018866,0.008507,7.209363
0.017527,14.852911,0.038171,32.348517
0.010353,8.773516,0.018506,15.683024
0.053892,45.670582,0.038497,32.624062
0.027305,23.139599,0.043513,43.599446
0.018265,15.478932,0.002175,1.843198
0.029053,24.621147,0.061497,52.116098
0.043087,36.514508,0.016176,13.708425
0.031411,26.619645,0.050482,42.780905
0.043211,36.619531,0.056805,48.139524
0.052464,44.460677,0.042510,36.024804
0.022973,19.468530,0.005718,5.729171
0.003501,2.967151,0.010976,10.998074
0.012700,10.762784,0.009220,9.238052
0.020237,17.150293,0.026978,22.862237
0.006216,5.268028,0.027214,23.062455
0.014825,12.563524,0.028681,24.305810
0.016719,14.168748,0.044145,37.410896
0.004313,3.655113,0.017755,17.790481
0.012820,10.864097,0.068140,57.745395
0.006019,5.100831,0.010924,9.257207
0.050180,42.524921,0.028206,28.262422
0.026028,22.057275,0.039047,33.090767
0.036091,30.585613,0.068337,68.473080
