alt_km,n_total_km3,n_payload_km3,n_rb_km3,n_debris_km3,n_starlink_km3
389,9.64905e-09,8.33478e-09,4.65778e-10,8.48494e-10,2.62721e-09
390,1.08463e-08,9.48245e-09,5.43089e-10,8.20807e-10,2.54346e-09
391,1.0801e-08,8.66449e-09,9.12111e-10,1.22436e-09,2.94077e-09
392,1.04146e-08,7.60038e-09,1.51514e-09,1.29911e-09,3.0187e-09
393,1.15401e-08,8.93968e-09,1.25661e-09,1.34377e-09,3.9384e-09
394,1.10428e-08,9.00907e-09,1.26543e-09,7.6835e-10,4.63468e-09
395,1.01966e-08,8.17649e-09,1.11942e-09,9.00666e-10,3.87005e-09
396,9.81957e-09,8.37812e-09,8.96488e-10,5.44961e-10,2.87968e-09
397,8.51017e-09,6.85271e-09,1.01357e-09,6.4389e-10,1.83193e-09
398,1.04169e-08,9.24274e-09,3.87178e-10,7.86954e-10,3.20706e-09
399,1.0628e-08,9.25972e-09,5.96014e-10,7.72275e-10,1.85028e-09
400,1.01014e-08,8.12291e-09,9.07794e-10,1.07074e-09,1.33455e-09
401,1.2556e-08,1.07151e-08,7.09618e-10,1.13125e-09,1.49157e-09
402,9.52251e-09,8.01755e-09,6.65165e-10,8.39795e-10,1.17063e-09
403,1.24414e-08,1.07117e-08,8.99902e-10,8.298e-10,2.65012e-09
404,1.32005e-08,1.13133e-08,9.5493e-10,9.32284e-10,3.5691e-09
405,1.07138e-08,9.1157e-09,6.6791e-10,9.30172e-10,2.98862e-09
406,1.17363e-08,1.04128e-08,4.43886e-10,8.79601e-10,3.97008e-09
407,1.10192e-08,9.78498e-09,4.27246e-10,8.07006e-10,2.64212e-09
408,1.01338e-08,8.24128e-09,4.7262e-10,1.41995e-09,2.37223e-09
409,9.96575e-09,8.00651e-09,4.69663e-10,1.48958e-09,3.31468e-09
410,1.11409e-08,8.90881e-09,4.61654e-10,1.77044e-09,3.8076e-09
411,1.19415e-08,1.02547e-08,4.99711e-10,1.18702e-09,4.63721e-09
412,1.00965e-08,8.2337e-09,5.86555e-10,1.27621e-09,2.92732e-09
413,1.02328e-08,8.85113e-09,5.07866e-10,8.73809e-10,2.8025e-09
414,1.19491e-08,1.03891e-08,5.75011e-10,9.8503e-10,2.63958e-09
415,1.245e-08,1.01421e-08,9.09383e-10,1.39843e-09,2.77539e-09
416,1.41778e-08,1.20704e-08,6.73913e-10,1.43346e-09,3.47876e-09
417,1.43325e-08,1.25586e-08,6.12526e-10,1.16135e-09,3.64118e-09
418,1.39192e-08,1.21517e-08,5.90629e-10,1.17688e-09,3.08441e-09
419,1.38028e-08,1.15101e-08,6.70845e-10,1.62189e-09,3.19586e-09
420,1.45255e-08,1.23296e-08,8.51279e-10,1.34466e-09,4.38039e-09
421,1.70835e-08,1.47834e-08,9.07439e-10,1.39263e-09,4.89921e-09
422,1.96535e-08,1.73326e-08,7.18545e-10,1.60239e-09,5.22313e-09
423,1.80282e-08,1.55971e-08,7.85258e-10,1.64578e-09,3.25571e-09
424,1.95521e-08,1.6858e-08,8.65717e-10,1.82836e-09,4.44517e-09
425,7.00942e-08,6.75219e-08,7.76639e-10,1.79564e-09,5.67522e-08
426,7.93279e-08,7.69572e-08,7.0342e-10,1.66733e-09,6.67846e-08
427,3.00695e-08,2.8136e-08,7.68752e-10,1.1648e-09,1.63337e-08
428,1.76421e-08,1.49989e-08,9.98621e-10,1.64461e-09,2.73948e-09
429,1.74871e-08,1.49016e-08,8.70804e-10,1.71475e-09,3.05016e-09
430,1.86809e-08,1.6065e-08,8.28452e-10,1.78748e-09,3.4493e-09
431,1.9543e-08,1.69037e-08,8.43514e-10,1.79574e-09,3.66921e-09
432,1.52734e-08,1.26159e-08,9.58815e-10,1.69871e-09,3.20793e-09
433,1.06186e-08,7.8093e-09,8.844e-10,1.92488e-09,1.4395e-09
434,1.09167e-08,8.57244e-09,5.63911e-10,1.78036e-09,2.76903e-09
435,1.10899e-08,8.63275e-09,8.44439e-10,1.61271e-09,3.40967e-09
436,1.22301e-08,9.48868e-09,1.00666e-09,1.73479e-09,3.84996e-09
