theta,k,L,Qd,n,u,M,Qeq,Qstar,Qoa,region_eq,fstar_cournot
197225.554,473224.057,3233185.48,714192.129,9,0.567296835,20.6687017,0,0,0,0,-276545.202
440.757332,81315.8261,9720153.53,11453.2529,7,0.798476274,11.9679475,0,0,0,0,-83188.4256
9792.01911,983325.442,7353406.79,158664.752,9,0.377939744,7.12453386,0,0,0,0,-974361.782
534148.837,205932.921,1219210.69,53241.3028,3,0.901632105,12.1749713,24507.0455,32667.8101,32676.0606,1,-109185.7
399202.091,201715.751,7854487.67,46027.9575,3,1.98449341,37.3181864,16624.015,22063.3875,22165.3533,1,-63097.3127
1148.74547,281844.895,337854.814,25870.2128,10,1.50540454,12.2306521,0,0,0,0,-280847.746
21264.6273,119759.659,1970729.88,20253.4729,9,0.349325065,8.60773509,0,0,0,0,-98700.226
380.528628,903974.548,714294.358,52884.6948,8,0.487415966,2.65703299,0,0,0,0,-903697.792
193005.7,526903.588,2108583.16,10311.5914,7,1.77350464,3.32061871,0,0,0,0,-335012.518
1181.3746,63822.4216,1325752.5,10249.3085,2,0.511189148,11.6620518,0,0,0,0,-62843.0471
37062.0731,47322.9194,1532018.59,363931.405,4,1.07660797,12.9648351,0,0,0,0,-10752.4657
1197105,397204.934,9733576.13,12930.1074,10,1.14056042,4.05652074,7820.27951,8598.28544,8602.30746,1,-79249.4141
733741.64,99549.4403,8841147.21,143799.882,6,0.466227461,9.67951709,106179.081,123687.431,123875.594,2,-104372.241
1205.33108,423045.806,420163.882,109065.228,3,0.541142319,44.0214172,0,0,0,0,-421908.245
5925.38769,825119.329,5030394.38,921955.596,5,0.655856424,3.49016908,0,0,0,0,-820177.314
1780.80764,264031.05,302238.1,135593.156,3,0.64012649,6.54623497,0,0,0,0,-262307.908
