rho_star_150_465,rho_star_465_495,rho_star_495_570,rho_star_570_700,rho_star_700_1000,rho_star_1000_2000
0.0347367909,0.093252465,0.305391132,0.476573625,2.6310692,1.81269047
0.0213752708,0.157937059,1.43112849,0.700980968,3.67299395,0.763689777
0.0318691216,0.119047069,0.371625241,0.301437023,3.27932425,0.884741112
0.0499308179,0.287036407,0.71676523,1.37231704,7.82867047,3.31309031
0.0119816521,0.0828320174,0.25410065,0.368240542,2.07488794,0.940589544
0.180643458,1.60612792,2.40330846,4.05758941,15.689308,8.12720997
0.0461467985,0.381988621,0.975220113,1.13857887,6.72079549,4.82407499
0.0301127967,0.247763354,0.684499771,0.691544049,6.54928418,5.53465051
0.00454798959,0.029973507,0.120953621,0.0901675711,0.812598828,0.21809383
0.0148327404,0.063945149,0.161853649,0.186299174,5.62856284,0.9020239
0.0960253938,0.41416073,1.13103387,2.56666007,24.1278261,4.25250858
0.0117534092,0.170931524,0.963909182,0.299065348,1.70979935,0.810343614
0.170612328,0.427914633,1.99376906,1.4646529,14.7957372,12.3910876
0.0193515694,0.118354238,1.2093818,0.685289719,2.2984952,0.521658885
0.111181675,0.170317581,0.581486985,0.812194819,10.4071073,5.32702824
0.00372579777,0.0321710506,0.179493999,0.183411863,0.392783787,1.47350808
0.0211155822,0.226285152,0.568772383,1.32517357,3.73227825,2.1438517
0.00278182308,0.0128344812,0.0597868744,0.0331275127,0.579381506,0.114629816
0.00658161314,0.0369622914,0.207937629,0.253015995,1.49591647,1.91681482
0.0243317845,0.107076215,0.467830882,0.641569098,2.77067164,0.933718011
0.029307017,0.184578405,0.446537665,0.893435005,4.88598936,2.58724436
0.0552656797,0.0686727709,1.10803817,0.708298809,5.06907861,1.73099807
0.146288934,0.248314555,1.32682778,1.45126273,25.5800079,8.50548101
0.0386222093,0.13442644,0.580834937,1.26473538,13.5906676,2.13755281
0.0282877474,0.190076774,0.573620005,0.887607634,10.0041288,3.40188486
0.0218084075,0.075726226,0.230504593,0.381134426,2.36835021,0.944471156
0.0790873803,0.342741266,0.69799675,2.21294905,16.6160216,4.52411751
0.025784908,0.185170611,0.53613322,0.755481455,4.28275454,1.52558052
0.0445199719,0.0998388342,0.285869783,0.580323862,1.56458759,0.973477831
0.019835573,0.142895587,0.733216718,0.74799123,5.79162498,2.27189444
0.0539563214,0.276900849,0.944483985,0.504260182,5.27366884,2.61056823
0.00545981187,0.0262651089,0.187043373,0.297270606,0.469705983,0.235533979
0.0157569709,0.038229671,0.197258788,0.13655184,1.16028905,0.876596022
0.0166730633,0.149154104,0.578168984,1.39867092,6.9954621,3.29730472
0.0139770803,0.124579289,0.467889218,0.966781293,2.66369332,6.94773356
0.0171264999,0.0408926018,0.283273366,0.172193076,1.37508155,0.721216791
0.032369492,0.19792029,1.01510557,1.04423186,4.73395903,5.4998158
0.00594794621,0.0184498993,0.248948852,0.130019797,1.01936979,0.232615975
0.0324121825,0.0994549586,0.173009673,0.446837331,2.78935927,1.32762745
0.00474748162,0.103790845,0.283835835,0.254772327,0.821190364,2.60468736
0.0251459869,0.116484143,0.235788533,1.31556,2.69038297,2.44453616
0.0284524552,0.125189227,0.292088028,0.397640481,5.4639183,3.21542807
0.0109443233,0.0303778712,0.103814422,0.0837506716,0.83009268,1.13322358
0.010733426,0.0611083035,0.301410008,0.317305573,3.32628535,1.33280034
0.0496627635,0.118156767,0.540824863,0.49006437,6.88337239,1.5619688
0.0639617902,0.706002302,1.38036669,1.39403467,8.49773078,12.5966693
0.0358508102,0.312409475,1.72838844,1.76853314,9.32072371,5.44053111
0.0382981869,0.148721005,0.852732178,0.704886839,5.11444999,5.04173185
0.0193861681,0.0545266197,0.277779938,1.01783545,3.23235368,0.842198039
0.00744097306,0.073610746,0.197508344,0.226754988,3.10842256,1.38557788
0.0611395841,0.14036006,0.438759643,0.595334354,3.95108173,1.05195637
0.0189018611,0.0807473978,0.30233793,0.472255343,3.10280495,1.51448628
0.0107173891,0.0458272302,0.246171628,0.123444092,1.72293855,0.631421026
0.0524250451,0.072384151,0.814999137,0.53699891,6.36447006,1.43887329
0.0067792984,0.0646580405,0.250810159,0.208905151,0.459621156,0.939482645
0.0453664585,0.271910048,0.778013551,1.54641834,5.66683203,2.88736664
0.0342452181,0.21670048,0.912421318,0.712153395,3.58495439,4.40256032
0.00649772972,0.0186475666,0.0606702991,0.111450889,0.758978795,0.249740685
0.0708599057,0.383600629,0.905952869,1.79413473,8.66863141,3.3540402
0.0184456236,0.034635854,0.176093018,0.192078777,1.11412156,0.353927323
0.0241142982,0.0776728351,0.322751264,0.493680563,1.42434645,1.61281294
0.00362549664,0.0696674895,0.352085003,0.259220165,3.79350339,2.42810217
0.0319682377,0.192951035,0.596564723,0.369815566,3.28948875,1.68850697
0.0305948357,0.11205742,0.420578559,0.437165867,4.41612114,1.51216909
0.00652397889,0.0585334835,0.116683223,0.275845584,2.03959971,0.853255112
0.135964996,0.342148102,3.10430006,2.75400128,32.1512092,8.23299529
0.0150939339,0.0589919122,0.370497617,0.609831133,3.35109485,0.724799042
0.0157417108,0.0674396489,0.284532087,0.273213207,6.8043568,2.00705747
0.0740555539,0.288470384,1.29727786,2.01539683,7.39365689,5.34125694
0.0353079054,0.145715471,0.604827203,0.867924424,4.16066046,4.02830533
0.198672232,1.18937959,3.4938282,8.91697142,19.7174152,9.73134728
0.0153916403,0.0581475008,0.126573654,0.333883422,1.20898602,1.30897069
0.0602249919,0.250562052,1.79411203,0.922311987,3.63954415,7.11076755
0.0108973812,0.117165199,0.444298342,0.428068251,3.22377154,0.989039
0.0755833036,0.305461849,1.93655546,1.04343704,16.4807491,3.92584205
0.012326341,0.0415100757,0.273321514,0.231022213,1.92230926,2.61067003
0.0139659245,0.0859429925,0.288735617,0.498042784,2.59649208,2.15380038
0.194937377,0.722862849,3.00601364,2.45641958,60.6442203,10.6876311
